"TENANT_ID","PARAM_NAME","PARAM_DESC","PARAM_VALUE","PARAM_NAMESPACE_KEY","CREATED_BY","MODIFIED_BY"
"BrainBoxDSAPP-T","PARAM_ENABLE_EDIT_AND_APPROVAL_OF_INVOICES","Guided Buying Multi-Line Invoice","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_TRANSFER_OF_OWNERSHIP","Transfer Approvable feature","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_IMPROVED_SEARCH_EXPERIENCE_2","Second phase of search result redesign feature.","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_DEFAULT_OBO_PURCHASE_ORG_ON_COMPANY_CODE_CHANGE","This parameter determines whether guided buying selects a valid purchasing organization by default when users se­lect a company code to purchase on behalf of.","true","BrainBoxDSAPP-T","rick@brainbox.consulting","rick@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_ENHANCED_RFQ_INTEGRATION","""Enables tighter integration with SAP Ariba Sourcing, activates an enhanced bid display, and supports alternate bids and supplier-added items.""","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_DISABLE_USER_TEAM_MANAGEMENT","This determines whether the Manage your teams page contains controls for creating and managing teams and managing team membership.","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_EDIT_RFQ","Enables users to change RFQs after they have been published. Also allows users to save RFQs in Composing state and resume editing later.","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","ENABLE_PU_FILTERING_FROM_GB","Enable PU Filtering from GB","true","BrainBoxDSAPP-T","rick@brainbox.consulting","rick@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_NEW_OBO_UI","Enable new user OBO process and UI","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_REUSE_REQFORMS","Enable Form Re-usability for Requisition Forms","true","BrainBoxDSAPP-T","System","System"
"BrainBoxDSAPP-T","PARAM_ENABLE_ENHANCED_YOUR_REQUEST_2","Determines whether the redesigned Your requests page phase 2 displays.","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_STANDING_ORDER_CATALOG_FILTERING","Enable catalog filtering for limit order feature","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_CONTENT_PUNCHIN_HIERARCHY","parameter for hierarchy items for EnableContentPunchin feature in guided buying","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_CONTENT_PUNCHIN_RFE","parameter for rfe items for EnableContentPunchin feature in guided buying","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_REQUISITION_ITEMS_ADDITION_FROM_HIERARCHY","Enable Requisition items addition from hierarchy for guided buying","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_OBOUSER_REVIEW_STEP","Enable Review Step in OBO user scenario","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_TEAM_RFQ","PARAM_ENABLE_TEAM_RFQ","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_REQUEST_FOR_ESTIMATE","Enable Request For Estimate for guided buying","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_USE_EXACT_PREFERRED_LEVEL","Supplier Selection Policy Parameter that allows to verify exact levels and not one level and above values","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_RECEIVING_FOR_S4HANA","Enables users to receive goods in guided buying and sends the receipts that are created to SAP S/4HANA or SAP S/4HANA Cloud in the 2NV and 3EN integration scenarios","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_LIMIT_ORDER_SUPPORT","Enable support for limit orders","true","BrainBoxDSAPP-T","Maninder@brainbox.consulting","Maninder@brainbox.consulting"
"BrainBoxDSAPP-T","ENABLE_LIMIT_ORDERS","Enable Standing orders in GB","true","BrainBoxDSAPP-T","Maninder@brainbox.consulting","Maninder@brainbox.consulting"
"BrainBoxDSAPP-T","ENABLE_MULTI_SECTIONS_SEARCH_RESULTS_PAGE_TEMPORARY","This parameter determines whether guided buying should display new catalog search results page.","false","BrainBoxDSAPP-T","siva","siva"
"BrainBoxDSAPP-T","AN_ENDPOINT_NAME","AN Endpoint name","GBEndPoint","BrainBoxDSAPP-T","puser1","puser1"
"BrainBoxDSAPP-T","RFQ_SEQUENCER","RFQ Sequencer","101","BrainBoxDSAPP-T","rick@brainbox.consulting","JoeHousing"
"BrainBoxDSAPP-T","ENABLE_ON_BEHALF_OF_CRITERIA","Enable on behalf of criteria","""user,companyCode,plant""","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","ENABLE_COMMUNITY_PANE","Enable communities panel","false","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_WEB_ASSISTANT","""Displays Enable Now Web Assistant. Set to """"false"""" to disable this feature or """"standard"""" to display standard content, or enter a URL to display custom content from Enable Now.""","standard","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_INVENTORY_RESERVATION","Enable Inventory items and reservations","false","BrainBoxDSAPP-T","puser2","puser2"
